metric,real,synthetic
daily_return_mean,0.0007529255270665328,0.0005057414935658752
daily_return_std,0.011589854556587996,0.01177322367915738
daily_return_skew,-0.548565385184407,0.18004721386837355
daily_return_kurtosis_excess,8.592084456034495,-0.7894889342566884
terminal_return_mean,0.01662309417724609,0.010407724253336581
terminal_return_std,0.05211292462431468,0.03925971203447367
terminal_hist_l1,0.0,0.42666666666666664
one_step_log_return_hist_l1,0.0,0.49
acf_abs_error_mean_lag_1_10,0.0,0.07369132977459873
acf_abs_error_lag_1,0.0,0.21484425666402546
acf_abs_error_lag_2,0.0,0.13209808878581833
acf_abs_error_lag_3,0.0,0.11539215523125432
acf_abs_error_lag_4,0.0,0.08547044255130826
acf_abs_error_lag_5,0.0,0.00335412781521658
acf_abs_error_lag_6,0.0,0.051995012601757755
acf_abs_error_lag_7,0.0,9.753065157577442e-05
acf_abs_error_lag_8,0.0,0.030561332428421628
acf_abs_error_lag_9,0.0,0.05878846705777659
acf_abs_error_lag_10,0.0,0.04431188395883262
8373254085213

