Agent,Metric,PointEstimate,CI_Lower,CI_Upper,Formatted
Agente Recurrente,Mean,0.006527516059577465,0.00541510246694088,0.007513275393284858,0.0065 [0.0054; 0.0075]
Agente delta de opción europea,Mean,0.0066778226755559444,0.0060804977780207995,0.007293022214435041,0.0067 [0.0061; 0.0073]
Agente Recurrente,StdDev,0.17259308695793152,0.17161197923123836,0.17359258644282818,0.1726 [0.1716; 0.1736]
Agente delta de opción europea,StdDev,0.1038300022482872,0.10322767812758685,0.10447192844003439,0.1038 [0.1032; 0.1045]
Agente Recurrente,CVaR_50,0.12398061156272888,0.12273932415992021,0.1252862099558115,0.1240 [0.1227; 0.1253]
Agente delta de opción europea,CVaR_50,0.07095915079116821,0.0701800562441349,0.07175437957048417,0.0710 [0.0702; 0.0718]
Agente Recurrente,CVaR_95,0.3887309432029724,0.3843699529767036,0.39302296563982964,0.3887 [0.3844; 0.3930]
Agente delta de opción europea,CVaR_95,0.23799745738506317,0.23543636426329612,0.24083086624741554,0.2380 [0.2354; 0.2408]
Agente Recurrente,CVaR_99,0.5742552876472473,0.565091946721077,0.5841976121068001,0.5743 [0.5651; 0.5842]
Agente delta de opción europea,CVaR_99,0.355706125497818,0.349808306992054,0.3618417724967003,0.3557 [0.3498; 0.3618]
Agente Recurrente,WorstCase,1.1947355270385742,1.0963913202285767,1.1947355270385742,1.1947 [1.0964; 1.1947]
Agente delta de opción europea,WorstCase,0.9656163454055786,0.7477797269821167,0.9656163454055786,0.9656 [0.7478; 0.9656]
Agente Recurrente,MAE,0.1305498480796814,0.12989701442420482,0.1311972565948963,0.1305 [0.1299; 0.1312]
Agente delta de opción europea,MAE,0.07796833664178848,0.07754838392138481,0.07842601109296084,0.0780 [0.0775; 0.0784]
