Agent,Metric,PointEstimate,CI_Lower,CI_Upper,Formatted
Agente Recurrente,Mean,0.008074650540947914,0.0013718860340304676,0.012684224662370975,0.0081 [0.0014; 0.0127]
Agente delta de opción europea,Mean,0.011700989678502083,0.007433687918819489,0.01571469896007329,0.0117 [0.0074; 0.0157]
Agente Recurrente,StdDev,0.16933126747608185,0.16195099614560604,0.17387236654758453,0.1693 [0.1620; 0.1739]
Agente delta de opción europea,StdDev,0.09992566704750061,0.09704635813832282,0.10292103122919798,0.0999 [0.0970; 0.1029]
Agente Recurrente,CVaR_50,0.12082403898239136,0.11518352460116148,0.12900765761733055,0.1208 [0.1152; 0.1290]
Agente delta de opción europea,CVaR_50,0.06310494989156723,0.057149865478277204,0.06806972790509462,0.0631 [0.0571; 0.0681]
Agente Recurrente,CVaR_95,0.369742751121521,0.341778739541769,0.39523848667740824,0.3697 [0.3418; 0.3952]
Agente delta de opción europea,CVaR_95,0.21880386769771576,0.20387672819197178,0.22426144741475582,0.2188 [0.2039; 0.2243]
Agente Recurrente,CVaR_99,0.5200907588005066,0.46221605166792873,0.5625338703393936,0.5201 [0.4622; 0.5625]
Agente delta de opción europea,CVaR_99,0.33274948596954346,0.30477498695254324,0.352010203897953,0.3327 [0.3048; 0.3520]
Agente Recurrente,WorstCase,0.7550051212310791,0.6521282523870469,0.7550051212310791,0.7550 [0.6521; 0.7550]
Agente delta de opción europea,WorstCase,0.4423825740814209,0.422323602437973,0.4423825740814209,0.4424 [0.4223; 0.4424]
Agente Recurrente,MAE,0.12901075184345245,0.12420507967472076,0.13237109296023847,0.1290 [0.1242; 0.1324]
Agente delta de opción europea,MAE,0.07577057927846909,0.07350212484598159,0.07834510952234268,0.0758 [0.0735; 0.0783]
