Agent,Metric,PointEstimate,CI_Lower,CI_Upper,Formatted
Agente Recurrente,Mean,0.008074650540947914,0.0010272214305587137,0.015464507997967301,0.0081 [0.0010; 0.0155]
Agente delta de opción europea,Mean,0.011700989678502083,0.007541088014841082,0.015717956237494946,0.0117 [0.0075; 0.0157]
Agente Recurrente,StdDev,0.16933126747608185,0.1645934458822012,0.17332979701459408,0.1693 [0.1646; 0.1733]
Agente delta de opción europea,StdDev,0.09992566704750061,0.09695937540382146,0.10327192265540361,0.0999 [0.0970; 0.1033]
Agente Recurrente,CVaR_50,0.12082403898239136,0.1132994381710887,0.1294806133955717,0.1208 [0.1133; 0.1295]
Agente delta de opción europea,CVaR_50,0.06310494989156723,0.05715894028544426,0.06776733063161373,0.0631 [0.0572; 0.0678]
Agente Recurrente,CVaR_95,0.369742751121521,0.3490974701941013,0.38873436227440833,0.3697 [0.3491; 0.3887]
Agente delta de opción europea,CVaR_95,0.21880386769771576,0.20078070536255838,0.2312283843755722,0.2188 [0.2008; 0.2312]
Agente Recurrente,CVaR_99,0.5200907588005066,0.4780811682343483,0.5518771857023239,0.5201 [0.4781; 0.5519]
Agente delta de opción europea,CVaR_99,0.33274948596954346,0.2955200992524624,0.3650074116885662,0.3327 [0.2955; 0.3650]
Agente Recurrente,WorstCase,0.7550051212310791,0.6136276721954346,0.7550051212310791,0.7550 [0.6136; 0.7550]
Agente delta de opción europea,WorstCase,0.4423825740814209,0.433867484331131,0.4423825740814209,0.4424 [0.4339; 0.4424]
Agente Recurrente,MAE,0.12901075184345245,0.1243439819663763,0.13290879540145398,0.1290 [0.1243; 0.1329]
Agente delta de opción europea,MAE,0.07577057927846909,0.072912622615695,0.07793320845812558,0.0758 [0.0729; 0.0779]
