quote_date,expiration,strike,option_type,bid,ask,last
2020-01-02,2020-02-01,2930.0,call,333.6785,340.4195,337.049
2020-01-02,2020-02-01,3095.0,call,185.6192,189.3691,187.4941
2020-01-02,2020-02-01,3260.0,call,76.6187,78.1666,77.3926
2020-01-02,2020-02-01,3420.0,call,22.5581,23.0138,22.786
2020-01-02,2020-02-01,3585.0,call,4.2269,4.3123,4.2696
2020-01-03,2020-02-02,2910.0,call,330.667,337.3472,334.0071
2020-01-03,2020-02-02,3075.0,call,182.816,186.5092,184.6626
2020-01-03,2020-02-02,3235.0,call,77.0643,78.6211,77.8427
2020-01-03,2020-02-02,3395.0,call,22.5703,23.0263,22.7983
2020-01-03,2020-02-02,3560.0,call,4.1821,4.2666,4.2244
2020-01-06,2020-02-05,2920.0,call,332.1053,338.8145,335.4599
2020-01-06,2020-02-05,3085.0,call,184.1593,187.8797,186.0195
2020-01-06,2020-02-05,3245.0,call,78.0527,79.6295,78.8411
2020-01-06,2020-02-05,3410.0,call,22.0524,22.4979,22.2751
2020-01-06,2020-02-05,3570.0,call,4.3228,4.4101,4.3665
2020-01-07,2020-02-06,2915.0,call,328.1292,334.758,331.4436
2020-01-07,2020-02-06,3075.0,call,184.7351,188.4672,186.6012
2020-01-07,2020-02-06,3235.0,call,78.2885,79.8701,79.0793
2020-01-07,2020-02-06,3400.0,call,22.0775,22.5235,22.3005
2020-01-07,2020-02-06,3560.0,call,4.3103,4.3974,4.3539
2020-01-08,2020-02-07,2930.0,call,329.0601,335.7078,332.384
2020-01-08,2020-02-07,3090.0,call,185.7014,189.4529,187.5772
2020-01-08,2020-02-07,3255.0,call,76.6033,78.1508,77.3771
2020-01-08,2020-02-07,3415.0,call,22.5171,22.972,22.7445
2020-01-08,2020-02-07,3580.0,call,4.2071,4.2921,4.2496
2020-01-09,2020-02-08,2945.0,call,335.552,342.3308,338.9414
2020-01-09,2020-02-08,3110.0,call,187.3944,191.1801,189.2872
2020-01-09,2020-02-08,3275.0,call,77.9397,79.5142,78.727
2020-01-09,2020-02-08,3440.0,call,22.2166,22.6654,22.441
2020-01-09,2020-02-08,3600.0,call,4.4231,4.5124,4.4677
2020-01-10,2020-02-09,2940.0,call,331.3346,338.0282,334.6814
2020-01-10,2020-02-09,3100.0,call,187.7672,191.5605,189.6638
2020-01-10,2020-02-09,3265.0,call,78.0414,79.618,78.8297
2020-01-10,2020-02-09,3430.0,call,22.1882,22.6364,22.4123
2020-01-10,2020-02-09,3590.0,call,4.3965,4.4853,4.4409
2020-01-13,2020-02-12,2960.0,call,334.1337,340.8838,337.5088
2020-01-13,2020-02-12,3125.0,call,186.3486,190.1132,188.2309
2020-01-13,2020-02-12,3290.0,call,77.4794,79.0446,78.262
