band_bound,band_pct,band_slug,simulation_index,eval_seed,run_dir,benchmark_point_agent,benchmark_empirical_agent,benchmark_point_mean,benchmark_point_stddev,benchmark_point_cvar_50,benchmark_point_cvar_95,benchmark_point_cvar_99,benchmark_point_mae,benchmark_point_worstcase,benchmark_empirical_mean_error,benchmark_empirical_std_error,benchmark_empirical_mae_error,benchmark_empirical_mse_error,benchmark_empirical_worst_case,benchmark_empirical_var_95,benchmark_empirical_var_99,benchmark_empirical_q_1pct,benchmark_empirical_q_0_5pct,benchmark_empirical_q_0_1pct,benchmark_empirical_cvar_50,benchmark_empirical_cvar_90,benchmark_empirical_cvar_95,benchmark_empirical_cvar_99,benchmark_empirical_es_95,benchmark_empirical_es_99,benchmark_empirical_exceedance_left_1pct,benchmark_empirical_exceedance_left_0_1pct
0.0,0.0,0000,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0000__sim_01,bs_delta_hedging,bs_delta_hedging,-2.762587070465088,0.9705544114112854,7.430106163024902,8.985438346862793,9.844149589538574,6.649020195007324,11.58489990234375,-2.762587131142616,0.970554443182431,2.762587131142616,8.57386358433595,7.6691741943359375,4.527073907852173,5.400703210830688,-5.400703210830688,-5.816845903396606,-6.517315724372864,3.5390376998901365,4.685098984479904,5.085138927459717,5.938754014968872,5.085138927459717,5.938754014968872,0.01,0.001
0.01,1.0,0010,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0010__sim_01,bs_delta_hedging,bs_delta_hedging,-2.747090578079224,0.975762128829956,7.4191083908081055,8.977155685424805,9.837102890014648,6.633431434631348,11.5775146484375,-2.7470908094644546,0.9757621063354948,2.7470908094644546,8.498619603604354,7.661832809448242,4.520917654037476,5.394962320327759,-5.394962320327759,-5.814650554656982,-6.510576938629151,3.5281054941654206,4.676742270231247,5.076905913352967,5.931749529838562,5.076905913352967,5.931749529838562,0.01,0.001
0.02,2.0,0020,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0020__sim_01,bs_delta_hedging,bs_delta_hedging,-2.7146008014678955,0.9819025993347168,7.391466617584228,8.956182479858398,9.817072868347168,6.600747108459473,11.548625946044922,-2.714600742650032,0.9819026046398416,2.714600742650032,8.33318991699461,7.633115768432617,4.499304628372192,5.381415901184082,-5.381415901184082,-5.806096062660218,-6.465888437271119,3.500626905870438,4.654224963665008,5.0560575866699216,5.911838545799255,5.0560575866699216,5.911838545799255,0.01,0.001
0.03,3.0,0030,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0030__sim_01,bs_delta_hedging,bs_delta_hedging,-2.671996116638184,0.98613703250885,7.351656913757324,8.925277709960938,9.785898208618164,6.557888507843018,11.443496704101562,-2.671995936870575,0.9861370362490008,2.671995936870575,8.112028540914825,7.5286102294921875,4.461673927307129,5.3614464855194095,-5.3614464855194095,-5.79557629108429,-6.374852360725403,3.4610546137809752,4.620678508043289,5.025334324836731,5.880849056243896,5.025334324836731,5.880849056243896,0.01,0.001
0.04,4.0,0040,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0040__sim_01,bs_delta_hedging,bs_delta_hedging,-2.622486114501953,0.9887327551841736,7.30275297164917,8.88381290435791,9.756299018859863,6.508082866668701,11.374252319335938,-2.6224862223625185,0.9887327026779318,2.6224862223625185,7.855026343826038,7.459776878356934,4.423144578933716,5.351258955001831,-5.351258955001831,-5.753439755439758,-6.389222606658936,3.4124408543586733,4.577411392450332,4.984677227020264,5.851425790786744,4.984677227020264,5.851425790786744,0.01,0.001
0.05,5.0,0050,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0050__sim_01,bs_delta_hedging,bs_delta_hedging,-2.5690860748291016,0.9904340505599976,7.248239994049072,8.839516639709473,9.710509300231934,6.45436429977417,11.420116424560549,-2.5690861711740496,0.990434037023938,2.569111087870598,7.581163336613272,7.505368232727051,4.372704982757568,5.285305614471436,-5.285305614471436,-5.705379023551941,-6.397628960609436,3.358250841283798,4.531922706365585,4.940084361076355,5.805906777381897,4.940084361076355,5.805906777381897,0.01,0.001
0.06,6.0,0060,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0060__sim_01,bs_delta_hedging,bs_delta_hedging,-2.5108907222747803,0.9914233684539796,7.188593864440918,8.787264823913574,9.656761169433594,6.39582109451294,11.348026275634766,-2.510890520644188,0.9914234102057548,2.510890520644188,7.287491584964849,7.433706283569336,4.309171915054321,5.232631711959839,-5.232631711959839,-5.648177733421326,-6.350773371696472,3.2989586527347563,4.477778585195542,4.888142185211182,5.752478199005127,4.888142185211182,5.752478199005127,0.01,0.001
0.07,7.000000000000001,0070,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0070__sim_01,bs_delta_hedging,bs_delta_hedging,-2.453114748001098,0.9919326305389404,7.129351615905762,8.728468894958496,9.609057426452637,6.337700366973877,11.348026275634766,-2.4531146319508554,0.9919326118805636,2.453146885216236,7.001701704003578,7.433706283569336,4.271093797683716,5.15093876838684,-5.15093876838684,-5.592663235664368,-6.303096875190735,3.240068033361435,4.419373659372329,4.829694375038147,5.705057301521301,4.829694375038147,5.705057301521301,0.01,0.001
0.08,8.0,0080,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0080__sim_01,bs_delta_hedging,bs_delta_hedging,-2.3960516452789307,0.9913054704666138,7.06960916519165,8.67159652709961,9.556201934814451,6.280296325683594,11.425228118896484,-2.396051716566086,0.9913054044374922,2.396138421654701,6.723750233326268,7.51045036315918,4.1923095226287845,5.127674627304077,-5.127674627304077,-5.516808352470398,-6.338337500572204,3.1806811616897583,4.359149608850479,4.7731601467132565,5.652516388893128,4.7731601467132565,5.652516388893128,0.01,0.001
0.09,9.0,0090,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0090__sim_01,bs_delta_hedging,bs_delta_hedging,-2.338576078414917,0.9916701912879944,7.011240482330322,8.613547325134277,9.49724006652832,6.222477912902832,11.30984115600586,-2.3385760865092275,0.9916702220034912,2.3387523179888725,6.452347941601268,7.395748138427734,4.144285821914673,5.071849431991577,-5.071849431991577,-5.439113650321961,-6.242403035163879,3.1226570414066317,4.302619839429855,4.715453883171081,5.593904032707214,4.715453883171081,5.593904032707214,0.01,0.001
