band_bound,band_pct,band_slug,n_simulations,benchmark_point_mean_mean,benchmark_point_mean_std,benchmark_point_stddev_mean,benchmark_point_stddev_std,benchmark_point_cvar_50_mean,benchmark_point_cvar_50_std,benchmark_point_cvar_95_mean,benchmark_point_cvar_95_std,benchmark_point_cvar_99_mean,benchmark_point_cvar_99_std,benchmark_point_mae_mean,benchmark_point_mae_std,benchmark_point_worstcase_mean,benchmark_point_worstcase_std,benchmark_empirical_mean_error_mean,benchmark_empirical_mean_error_std,benchmark_empirical_std_error_mean,benchmark_empirical_std_error_std,benchmark_empirical_mae_error_mean,benchmark_empirical_mae_error_std,benchmark_empirical_mse_error_mean,benchmark_empirical_mse_error_std,benchmark_empirical_worst_case_mean,benchmark_empirical_worst_case_std,benchmark_empirical_var_95_mean,benchmark_empirical_var_95_std,benchmark_empirical_var_99_mean,benchmark_empirical_var_99_std,benchmark_empirical_q_1pct_mean,benchmark_empirical_q_1pct_std,benchmark_empirical_q_0_5pct_mean,benchmark_empirical_q_0_5pct_std,benchmark_empirical_q_0_1pct_mean,benchmark_empirical_q_0_1pct_std,benchmark_empirical_cvar_50_mean,benchmark_empirical_cvar_50_std,benchmark_empirical_cvar_90_mean,benchmark_empirical_cvar_90_std,benchmark_empirical_cvar_95_mean,benchmark_empirical_cvar_95_std,benchmark_empirical_cvar_99_mean,benchmark_empirical_cvar_99_std,benchmark_empirical_es_95_mean,benchmark_empirical_es_95_std,benchmark_empirical_es_99_mean,benchmark_empirical_es_99_std,benchmark_empirical_exceedance_left_1pct_mean,benchmark_empirical_exceedance_left_1pct_std,benchmark_empirical_exceedance_left_0_1pct_mean,benchmark_empirical_exceedance_left_0_1pct_std
0.0,0.0,0000,1,-2.762587070465088,0.0,0.9705544114112854,0.0,7.430106163024902,0.0,8.985438346862793,0.0,9.844149589538574,0.0,6.649020195007324,0.0,11.58489990234375,0.0,-2.762587131142616,0.0,0.970554443182431,0.0,2.762587131142616,0.0,8.57386358433595,0.0,7.6691741943359375,0.0,4.527073907852173,0.0,5.400703210830688,0.0,-5.400703210830688,0.0,-5.816845903396606,0.0,-6.517315724372864,0.0,3.5390376998901365,0.0,4.685098984479904,0.0,5.085138927459717,0.0,5.938754014968872,0.0,5.085138927459717,0.0,5.938754014968872,0.0,0.01,0.0,0.001,0.0
0.01,1.0,0010,1,-2.747090578079224,0.0,0.975762128829956,0.0,7.4191083908081055,0.0,8.977155685424805,0.0,9.837102890014648,0.0,6.633431434631348,0.0,11.5775146484375,0.0,-2.7470908094644546,0.0,0.9757621063354948,0.0,2.7470908094644546,0.0,8.498619603604354,0.0,7.661832809448242,0.0,4.520917654037476,0.0,5.394962320327759,0.0,-5.394962320327759,0.0,-5.814650554656982,0.0,-6.510576938629151,0.0,3.5281054941654206,0.0,4.676742270231247,0.0,5.076905913352967,0.0,5.931749529838562,0.0,5.076905913352967,0.0,5.931749529838562,0.0,0.01,0.0,0.001,0.0
0.02,2.0,0020,1,-2.7146008014678955,0.0,0.9819025993347168,0.0,7.391466617584228,0.0,8.956182479858398,0.0,9.817072868347168,0.0,6.600747108459473,0.0,11.548625946044922,0.0,-2.714600742650032,0.0,0.9819026046398416,0.0,2.714600742650032,0.0,8.33318991699461,0.0,7.633115768432617,0.0,4.499304628372192,0.0,5.381415901184082,0.0,-5.381415901184082,0.0,-5.806096062660218,0.0,-6.465888437271119,0.0,3.500626905870438,0.0,4.654224963665008,0.0,5.0560575866699216,0.0,5.911838545799255,0.0,5.0560575866699216,0.0,5.911838545799255,0.0,0.01,0.0,0.001,0.0
0.03,3.0,0030,1,-2.671996116638184,0.0,0.98613703250885,0.0,7.351656913757324,0.0,8.925277709960938,0.0,9.785898208618164,0.0,6.557888507843018,0.0,11.443496704101562,0.0,-2.671995936870575,0.0,0.9861370362490008,0.0,2.671995936870575,0.0,8.112028540914825,0.0,7.5286102294921875,0.0,4.461673927307129,0.0,5.3614464855194095,0.0,-5.3614464855194095,0.0,-5.79557629108429,0.0,-6.374852360725403,0.0,3.4610546137809752,0.0,4.620678508043289,0.0,5.025334324836731,0.0,5.880849056243896,0.0,5.025334324836731,0.0,5.880849056243896,0.0,0.01,0.0,0.001,0.0
0.04,4.0,0040,1,-2.622486114501953,0.0,0.9887327551841736,0.0,7.30275297164917,0.0,8.88381290435791,0.0,9.756299018859863,0.0,6.508082866668701,0.0,11.374252319335938,0.0,-2.6224862223625185,0.0,0.9887327026779318,0.0,2.6224862223625185,0.0,7.855026343826038,0.0,7.459776878356934,0.0,4.423144578933716,0.0,5.351258955001831,0.0,-5.351258955001831,0.0,-5.753439755439758,0.0,-6.389222606658936,0.0,3.4124408543586733,0.0,4.577411392450332,0.0,4.984677227020264,0.0,5.851425790786744,0.0,4.984677227020264,0.0,5.851425790786744,0.0,0.01,0.0,0.001,0.0
0.05,5.0,0050,1,-2.5690860748291016,0.0,0.9904340505599976,0.0,7.248239994049072,0.0,8.839516639709473,0.0,9.710509300231934,0.0,6.45436429977417,0.0,11.420116424560549,0.0,-2.5690861711740496,0.0,0.990434037023938,0.0,2.569111087870598,0.0,7.581163336613272,0.0,7.505368232727051,0.0,4.372704982757568,0.0,5.285305614471436,0.0,-5.285305614471436,0.0,-5.705379023551941,0.0,-6.397628960609436,0.0,3.358250841283798,0.0,4.531922706365585,0.0,4.940084361076355,0.0,5.805906777381897,0.0,4.940084361076355,0.0,5.805906777381897,0.0,0.01,0.0,0.001,0.0
0.06,6.0,0060,1,-2.5108907222747803,0.0,0.9914233684539796,0.0,7.188593864440918,0.0,8.787264823913574,0.0,9.656761169433594,0.0,6.39582109451294,0.0,11.348026275634766,0.0,-2.510890520644188,0.0,0.9914234102057548,0.0,2.510890520644188,0.0,7.287491584964849,0.0,7.433706283569336,0.0,4.309171915054321,0.0,5.232631711959839,0.0,-5.232631711959839,0.0,-5.648177733421326,0.0,-6.350773371696472,0.0,3.2989586527347563,0.0,4.477778585195542,0.0,4.888142185211182,0.0,5.752478199005127,0.0,4.888142185211182,0.0,5.752478199005127,0.0,0.01,0.0,0.001,0.0
0.07,7.000000000000001,0070,1,-2.453114748001098,0.0,0.9919326305389404,0.0,7.129351615905762,0.0,8.728468894958496,0.0,9.609057426452637,0.0,6.337700366973877,0.0,11.348026275634766,0.0,-2.4531146319508554,0.0,0.9919326118805636,0.0,2.453146885216236,0.0,7.001701704003578,0.0,7.433706283569336,0.0,4.271093797683716,0.0,5.15093876838684,0.0,-5.15093876838684,0.0,-5.592663235664368,0.0,-6.303096875190735,0.0,3.240068033361435,0.0,4.419373659372329,0.0,4.829694375038147,0.0,5.705057301521301,0.0,4.829694375038147,0.0,5.705057301521301,0.0,0.01,0.0,0.001,0.0
0.08,8.0,0080,1,-2.3960516452789307,0.0,0.9913054704666138,0.0,7.06960916519165,0.0,8.67159652709961,0.0,9.556201934814451,0.0,6.280296325683594,0.0,11.425228118896484,0.0,-2.396051716566086,0.0,0.9913054044374922,0.0,2.396138421654701,0.0,6.723750233326268,0.0,7.51045036315918,0.0,4.1923095226287845,0.0,5.127674627304077,0.0,-5.127674627304077,0.0,-5.516808352470398,0.0,-6.338337500572204,0.0,3.1806811616897583,0.0,4.359149608850479,0.0,4.7731601467132565,0.0,5.652516388893128,0.0,4.7731601467132565,0.0,5.652516388893128,0.0,0.01,0.0,0.001,0.0
0.09,9.0,0090,1,-2.338576078414917,0.0,0.9916701912879944,0.0,7.011240482330322,0.0,8.613547325134277,0.0,9.49724006652832,0.0,6.222477912902832,0.0,11.30984115600586,0.0,-2.3385760865092275,0.0,0.9916702220034912,0.0,2.3387523179888725,0.0,6.452347941601268,0.0,7.395748138427734,0.0,4.144285821914673,0.0,5.071849431991577,0.0,-5.071849431991577,0.0,-5.439113650321961,0.0,-6.242403035163879,0.0,3.1226570414066317,0.0,4.302619839429855,0.0,4.715453883171081,0.0,5.593904032707214,0.0,4.715453883171081,0.0,5.593904032707214,0.0,0.01,0.0,0.001,0.0
0.1,10.0,0100,1,-2.2832601070404053,0.0,0.993565797805786,0.0,6.955435752868652,0.0,8.551359176635742,0.0,9.439789772033691,0.0,6.1668314933776855,0.0,11.360321998596191,0.0,-2.2832600334763526,0.0,0.9935658123872438,0.0,2.283750297963619,0.0,6.200449404015159,0.0,7.445928573608398,0.0,4.095285177230835,0.0,5.001117725372314,0.0,-5.001117725372314,0.0,-5.37219087600708,0.0,-6.190750063896179,0.0,3.067185089969635,0.0,4.243726878643036,0.0,4.653635875701904,0.0,5.536795053482056,0.0,4.653635875701904,0.0,5.536795053482056,0.0,0.01,0.0,0.001,0.0
0.11,11.0,0110,1,-2.227325677871704,0.0,0.9907437562942504,0.0,6.894515037536621,0.0,8.490730285644531,0.0,9.381009101867676,0.0,6.110563278198242,0.0,11.163910865783691,0.0,-2.227325679576397,0.0,0.99074374508923,0.0,2.228347276699543,0.0,5.942552851333892,0.0,7.250683784484863,0.0,4.022844290733337,0.0,4.943006248474121,0.0,-4.943006248474121,0.0,-5.3013349056243895,0.0,-6.185523545265197,0.0,3.006625176906585,0.0,4.184854917049408,0.0,4.593368169784546,0.0,5.478363394737244,0.0,4.593368169784546,0.0,5.478363394737244,0.0,0.01,0.0,0.001,0.0
0.12,12.0,0120,1,-2.175442695617676,0.0,0.9947716593742372,0.0,6.844079494476318,0.0,8.445672035217285,0.0,9.336016654968262,0.0,6.058370113372803,0.0,11.17480754852295,0.0,-2.1754425545334817,0.0,0.9947716518418396,0.0,2.1778049852490424,0.0,5.722120947383302,0.0,7.261515617370605,0.0,3.974978041648865,0.0,4.890529737472535,0.0,-4.890529737472535,0.0,-5.2592180061340335,0.0,-6.181071186065674,0.0,2.95648979473114,0.0,4.133254711389542,0.0,4.548576699733734,0.0,5.433637042045593,0.0,4.548576699733734,0.0,5.433637042045593,0.0,0.01,0.0,0.001,0.0
0.13,13.0,0130,1,-2.1195008754730225,0.0,0.9947718381881714,0.0,6.784135818481445,0.0,8.395824432373047,0.0,9.278203964233398,0.0,6.002094745635986,0.0,11.08062744140625,0.0,-2.1195009041666983,0.0,0.9947718093483364,0.0,2.122424070990085,0.0,5.481855035437616,0.0,7.16789436340332,0.0,3.923722815513611,0.0,4.866842260360718,0.0,-4.866842260360718,0.0,-5.216928706169129,0.0,-6.156911093711853,0.0,2.896900730323792,0.0,4.080329495668411,0.0,4.499024458408356,0.0,5.376167902946472,0.0,4.499024458408356,0.0,5.376167902946472,0.0,0.01,0.0,0.001,0.0
0.14,14.000000000000002,0140,1,-2.071270227432251,0.0,0.9890414476394652,0.0,6.729160308837891,0.0,8.346031188964844,0.0,9.229174613952637,0.0,5.953576564788818,0.0,11.223541259765623,0.0,-2.0712704583883284,0.0,0.9890414313217892,0.0,2.074640349531174,0.0,5.26836426466325,0.0,7.30996036529541,0.0,3.87577121257782,0.0,4.801156892776489,0.0,-4.801156892776489,0.0,-5.173814845085144,0.0,-6.076565847396851,0.0,2.84225122718811,0.0,4.027420758247375,0.0,4.449527083873749,0.0,5.327429242134095,0.0,4.449527083873749,0.0,5.327429242134095,0.0,0.01,0.0,0.001,0.0
