band_bound,band_pct,band_slug,simulation_index,eval_seed,run_dir,benchmark_point_agent,benchmark_empirical_agent,benchmark_point_mean,benchmark_point_stddev,benchmark_point_cvar_50,benchmark_point_cvar_95,benchmark_point_cvar_99,benchmark_point_mae,benchmark_point_worstcase,benchmark_empirical_mean_error,benchmark_empirical_std_error,benchmark_empirical_mae_error,benchmark_empirical_mse_error,benchmark_empirical_worst_case,benchmark_empirical_var_95,benchmark_empirical_var_99,benchmark_empirical_q_1pct,benchmark_empirical_q_0_5pct,benchmark_empirical_q_0_1pct,benchmark_empirical_cvar_50,benchmark_empirical_cvar_90,benchmark_empirical_cvar_95,benchmark_empirical_cvar_99,benchmark_empirical_es_95,benchmark_empirical_es_99,benchmark_empirical_exceedance_left_1pct,benchmark_empirical_exceedance_left_0_1pct
0.0,0.0,0000,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0000__sim_01,asian_delta_hedging,asian_delta_hedging,-2.005012035369873,0.5672456622123718,4.630527973175049,5.501199722290039,5.939755916595459,4.178278923034668,7.014817237854004,-2.0050120754003524,0.5672456748345981,2.0050120754003524,4.341841078119787,4.824716091156006,3.026242017745972,3.487288374900818,-3.487288374900818,-3.6692120003700257,-4.11608493232727,2.454576742935181,3.099923726797104,3.3200818362236024,3.7560345005989073,3.3200818362236024,3.7560345005989073,0.01,0.001
0.01,1.0,0010,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0010__sim_01,asian_delta_hedging,asian_delta_hedging,-2.0017249584198,0.567097008228302,4.627038955688477,5.498945713043213,5.937646865844727,4.174972534179688,7.02826738357544,-2.001725025331974,0.5670970061365527,2.001725025331974,4.328502091409334,4.8380866050720215,3.024029541015625,3.4846398544311525,-3.4846398544311525,-3.666087584495545,-4.109812398910522,2.451108938074112,3.097532295465469,3.3178411617279053,3.7539385414123534,3.3178411617279053,3.7539385414123534,0.01,0.001
0.02,2.0,0020,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0020__sim_01,asian_delta_hedging,asian_delta_hedging,-1.9928638935089111,0.566846489906311,4.617888450622559,5.492671966552734,5.931112289428711,4.166058540344238,7.02826738357544,-1.9928639607906344,0.566846484143078,1.9928639607906344,4.292821702803503,4.8380866050720215,3.016523337364197,3.478856930732727,-3.478856930732727,-3.662654268741608,-4.109785193920136,2.4420126083374023,3.090643571853638,3.311604978561401,3.747442681789398,3.311604978561401,3.747442681789398,0.01,0.001
0.03,3.0,0030,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0030__sim_01,asian_delta_hedging,asian_delta_hedging,-1.98023784160614,0.5669180750846863,4.605335235595703,5.485135078430176,5.925663471221924,4.153357028961182,7.02826738357544,-1.9802378639936449,0.5669180496974587,1.9802378639936449,4.242738073066883,4.8380866050720215,3.0092978477478027,3.4648095035552977,-3.4648095035552977,-3.652074666023255,-4.109785193920136,2.4295338526725767,3.0821987931728363,3.30411266708374,3.7420266103744506,3.30411266708374,3.7420266103744506,0.01,0.001
0.04,4.0,0040,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0040__sim_01,asian_delta_hedging,asian_delta_hedging,-1.9643514156341555,0.5672509074211121,4.590013980865479,5.474710941314697,5.915023326873779,4.137375831604004,7.02826738357544,-1.964351416540146,0.5672508984293956,1.964351416540146,4.180450069432235,4.8380866050720215,2.994407558441162,3.4579550981521607,-3.4579550981521607,-3.6498575901985166,-4.093210813522339,2.4143034520626068,3.070865354537964,3.293750346183777,3.7314493298530578,3.293750346183777,3.7314493298530578,0.01,0.001
0.05,5.0,0050,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0050__sim_01,asian_delta_hedging,asian_delta_hedging,-1.94524610042572,0.5674982666969299,4.571567058563232,5.457118988037109,5.8952956199646,4.118156433105469,7.04429817199707,-1.9452462434887885,0.5674982640043607,1.9452462434887885,4.106037227455206,4.85402250289917,2.978453540802002,3.4391756439208985,-3.4391756439208985,-3.620425441265106,-4.059256441116333,2.3959661287784577,3.0531487736701965,3.2762621450424194,3.711838295459748,3.2762621450424194,3.711838295459748,0.01,0.001
0.06,6.0,0060,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0060__sim_01,asian_delta_hedging,asian_delta_hedging,-1.924421310424805,0.5677750706672668,4.550870418548584,5.440762996673584,5.882337093353272,4.097207069396973,7.106902599334717,-1.9244212932467464,0.5677750407068378,1.9244212932467464,4.025765810751129,4.916254997253418,2.9655700445175173,3.42485716342926,-3.42485716342926,-3.614147636890412,-4.080292651176452,2.3753921288013458,3.03695388174057,3.260003886699677,3.698956685066223,3.260003886699677,3.698956685066223,0.01,0.001
0.07,7.000000000000001,0070,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0070__sim_01,asian_delta_hedging,asian_delta_hedging,-1.9033141136169436,0.5683301687240601,4.529961585998535,5.421929836273193,5.867580413818359,4.075973987579346,7.061612129211426,-1.9033141496658328,0.5683301747900884,1.9033141496658328,3.9456039398951033,4.8712334632873535,2.945546293258667,3.4173478984832766,-3.4173478984832766,-3.601423079967499,-3.994318388938904,2.354607461190224,3.0180455367565155,3.2412819871902467,3.6842875814437863,3.2412819871902467,3.6842875814437863,0.01,0.001
0.08,8.0,0080,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0080__sim_01,asian_delta_hedging,asian_delta_hedging,-1.8802995681762693,0.5713081955909729,4.510014057159424,5.403250217437744,5.851089000701904,4.052822113037109,7.136659145355225,-1.880299772834778,0.571308205019502,1.880299772834778,3.861920300845122,4.945835113525391,2.916458082199097,3.382633528709412,-3.382633528709412,-3.5816110157966614,-4.034101529121399,2.3347779959201813,3.0004568667411804,3.222713222980499,3.667893881797791,3.222713222980499,3.667893881797791,0.01,0.001
0.09,9.0,0090,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0090__sim_01,asian_delta_hedging,asian_delta_hedging,-1.8563969135284424,0.5720833539962769,4.486413955688477,5.383871078491211,5.832694053649902,4.0287766456604,7.085855484008789,-1.8563968532443047,0.5720833532242924,1.8563968532443047,3.773488639771707,4.89533281326294,2.9110307693481445,3.3557218456268307,-3.3557218456268307,-3.5563886404037475,-4.020477964401245,2.3113183055877684,2.9802687821388245,3.2034491958618165,3.6496086049079897,3.2034491958618165,3.6496086049079897,0.01,0.001
