band_bound,band_pct,band_slug,n_simulations,benchmark_point_mean_mean,benchmark_point_mean_std,benchmark_point_stddev_mean,benchmark_point_stddev_std,benchmark_point_cvar_50_mean,benchmark_point_cvar_50_std,benchmark_point_cvar_95_mean,benchmark_point_cvar_95_std,benchmark_point_cvar_99_mean,benchmark_point_cvar_99_std,benchmark_point_mae_mean,benchmark_point_mae_std,benchmark_point_worstcase_mean,benchmark_point_worstcase_std,benchmark_empirical_mean_error_mean,benchmark_empirical_mean_error_std,benchmark_empirical_std_error_mean,benchmark_empirical_std_error_std,benchmark_empirical_mae_error_mean,benchmark_empirical_mae_error_std,benchmark_empirical_mse_error_mean,benchmark_empirical_mse_error_std,benchmark_empirical_worst_case_mean,benchmark_empirical_worst_case_std,benchmark_empirical_var_95_mean,benchmark_empirical_var_95_std,benchmark_empirical_var_99_mean,benchmark_empirical_var_99_std,benchmark_empirical_q_1pct_mean,benchmark_empirical_q_1pct_std,benchmark_empirical_q_0_5pct_mean,benchmark_empirical_q_0_5pct_std,benchmark_empirical_q_0_1pct_mean,benchmark_empirical_q_0_1pct_std,benchmark_empirical_cvar_50_mean,benchmark_empirical_cvar_50_std,benchmark_empirical_cvar_90_mean,benchmark_empirical_cvar_90_std,benchmark_empirical_cvar_95_mean,benchmark_empirical_cvar_95_std,benchmark_empirical_cvar_99_mean,benchmark_empirical_cvar_99_std,benchmark_empirical_es_95_mean,benchmark_empirical_es_95_std,benchmark_empirical_es_99_mean,benchmark_empirical_es_99_std,benchmark_empirical_exceedance_left_1pct_mean,benchmark_empirical_exceedance_left_1pct_std,benchmark_empirical_exceedance_left_0_1pct_mean,benchmark_empirical_exceedance_left_0_1pct_std
0.0,0.0,0000,1,-2.059340715408325,0.0,0.6081048846244812,0.0,4.738044738769531,0.0,5.638249397277832,0.0,6.135280132293701,0.0,4.271481513977051,0.0,7.056151866912842,0.0,-2.0593407120227814,0.0,0.6081049089835158,0.0,2.0593407120227814,0.0,4.610675748524345,0.0,5.067659854888916,0.0,3.1199495911598207,0.0,3.627800378799438,0.0,-3.627800378799438,0.0,-3.853852943181992,0.0,-4.362131053924561,0.0,2.54246825633049,0.0,3.218216036081314,0.0,3.4505811676979063,0.0,3.942949528694153,0.0,3.4505811676979063,0.0,3.942949528694153,0.0,0.01,0.0,0.001,0.0
0.01,1.0,0010,1,-2.055961847305298,0.0,0.6079041361808777,0.0,4.734555244445801,0.0,5.635797500610352,0.0,6.132040500640869,0.0,4.268082141876221,0.0,7.061017036437988,0.0,-2.0559618015289307,0.0,0.6079041469610185,0.0,2.0559618015289307,0.0,4.596526381238489,0.0,5.072495937347412,0.0,3.1183420419692998,0.0,3.621862518787384,0.0,-3.621862518787384,0.0,-3.8548888087272646,0.0,-4.362312070846557,0.0,2.538992627286911,0.0,3.215657147169113,0.0,3.448012543678284,0.0,3.939772419929505,0.0,3.448012543678284,0.0,3.939772419929505,0.0,0.01,0.0,0.001,0.0
0.02,2.0,0020,1,-2.046786308288574,0.0,0.6075954437255859,0.0,4.72489070892334,0.0,5.629962921142578,0.0,6.125766754150391,0.0,4.258852481842041,0.0,7.051755905151367,0.0,-2.0467864468932158,0.0,0.6075954489752331,0.0,2.0467864468932158,0.0,4.558506988801168,0.0,5.053314685821533,0.0,3.1103059768676755,0.0,3.6247914695739754,0.0,-3.6247914695739754,0.0,-3.8412240874767294,0.0,-4.362315603733062,0.0,2.5296371428489683,0.0,3.208531770706177,0.0,3.442432791233063,0.0,3.933290617465973,0.0,3.442432791233063,0.0,3.933290617465973,0.0,0.01,0.0,0.001,0.0
0.03,3.0,0030,1,-2.033803224563598,0.0,0.6078303456306458,0.0,4.712081432342529,0.0,5.619908332824707,0.0,6.120460033416748,0.0,4.245790958404541,0.0,7.091324806213379,0.0,-2.0338028374791146,0.0,0.6078303850570761,0.0,2.0338028374791146,0.0,4.505811758736731,0.0,5.064102649688721,0.0,3.106630980968476,0.0,3.618920123577118,0.0,-3.618920123577118,0.0,-3.82889674782753,0.0,-4.350111729621887,0.0,2.516758742976189,0.0,3.1996729309558867,0.0,3.4317414736747742,0.0,3.924734094142914,0.0,3.4317414736747742,0.0,3.924734094142914,0.0,0.01,0.0,0.001,0.0
0.04,4.0,0040,1,-2.016912937164306,0.0,0.607647180557251,0.0,4.695173263549805,0.0,5.608039855957031,0.0,6.1110053062438965,0.0,4.228800296783447,0.0,7.088850975036621,0.0,-2.016912834084034,0.0,0.607647131634844,0.0,2.016912834084034,0.0,4.437172416876942,0.0,5.062089920043945,0.0,3.090746510028839,0.0,3.59762446641922,0.0,-3.59762446641922,0.0,-3.8288958847522734,0.0,-4.348758941173553,0.0,2.4996144670724867,0.0,3.1860575263500213,0.0,3.419805685043335,0.0,3.9170588493347167,0.0,3.419805685043335,0.0,3.9170588493347167,0.0,0.01,0.0,0.001,0.0
0.05,5.0,0050,1,-1.998412132263184,0.0,0.6081349849700928,0.0,4.677370548248291,0.0,5.5944504737854,0.0,6.0956711769104,0.0,4.210188865661621,0.0,7.070075035095215,0.0,-1.9984121052503585,0.0,0.6081349975905208,0.0,1.9984121052503585,0.0,4.363479117705593,0.0,5.077057838439941,0.0,3.0854971528053285,0.0,3.5869932341575623,0.0,-3.5869932341575623,0.0,-3.80954971075058,0.0,-4.33990615940094,0.0,2.481668618273735,0.0,3.17178408908844,0.0,3.404923694610596,0.0,3.902529249191284,0.0,3.404923694610596,0.0,3.902529249191284,0.0,0.01,0.0,0.001,0.0
0.06,6.0,0060,1,-1.977211356163025,0.0,0.6090261340141296,0.0,4.657407760620117,0.0,5.57489538192749,0.0,6.074541091918945,0.0,4.188861846923828,0.0,7.067506790161133,0.0,-1.9772111948370932,0.0,0.6090261292530038,0.0,1.9772111948370932,0.0,4.280276935102023,0.0,5.0789475440979,0.0,3.0729148745536805,0.0,3.570772747993469,0.0,-3.570772747993469,0.0,-3.769688684940338,0.0,-4.359410894393921,0.0,2.4614804565668105,0.0,3.1562486488819124,0.0,3.38578241443634,0.0,3.88290608882904,0.0,3.38578241443634,0.0,3.88290608882904,0.0,0.01,0.0,0.001,0.0
0.07,7.000000000000001,0070,1,-1.953872799873352,0.0,0.6096921563148499,0.0,4.634616374969482,0.0,5.554457187652588,0.0,6.058788299560547,0.0,4.165383815765381,0.0,7.070391178131104,0.0,-1.953872714471817,0.0,0.6096921665514929,0.0,1.953872714471817,0.0,4.189343122311719,0.0,5.081814765930176,0.0,3.0457302808761595,0.0,3.5340118122100828,0.0,-3.5340118122100828,0.0,-3.761105029582977,0.0,-4.3045692596435545,0.0,2.438940478515625,0.0,3.135117131948471,0.0,3.3672092537879945,0.0,3.864865596294403,0.0,3.3672092537879945,0.0,3.864865596294403,0.0,0.01,0.0,0.001,0.0
0.08,8.0,0080,1,-1.9319082498550413,0.0,0.611005425453186,0.0,4.61377477645874,0.0,5.534380912780762,0.0,6.035994052886963,0.0,4.1432881355285645,0.0,7.070391178131104,0.0,-1.931908044970036,0.0,0.6110054480573357,0.0,1.931908044970036,0.0,4.10559635177569,0.0,5.081814765930176,0.0,3.032230532169342,0.0,3.52616131067276,0.0,-3.52616131067276,0.0,-3.742324390411377,0.0,-4.316560925960541,0.0,2.418570606184005,0.0,3.1157313497066497,0.0,3.348506419181824,0.0,3.850455164909363,0.0,3.348506419181824,0.0,3.850455164909363,0.0,0.01,0.0,0.001,0.0
0.09,9.0,0090,1,-1.9070357084274288,0.0,0.6130272150039673,0.0,4.590339660644531,0.0,5.515998840332031,0.0,6.016522407531738,0.0,4.118267059326172,0.0,7.070391178131104,0.0,-1.9070357070088384,0.0,0.6130271892789941,0.0,1.9070357070088384,0.0,4.012587522602005,0.0,5.081814765930176,0.0,3.0109939217567443,0.0,3.5124706268310546,0.0,-3.5124706268310546,0.0,-3.7288394105434417,0.0,-4.26161920261383,0.0,2.3949038502216338,0.0,3.095308368206024,0.0,3.3318864455223083,0.0,3.835334503650665,0.0,3.3318864455223083,0.0,3.835334503650665,0.0,0.01,0.0,0.001,0.0
0.1,10.0,0100,1,-1.8854796886444087,0.0,0.6154720783233643,0.0,4.570749282836914,0.0,5.497687816619873,0.0,5.985556602478027,0.0,4.096582412719727,0.0,7.159261226654053,0.0,-1.885479654932022,0.0,0.6154720518476834,0.0,1.885479654932022,0.0,3.933839375768174,0.0,5.170157432556152,0.0,2.9886248826980597,0.0,3.4765126633644106,0.0,-3.4765126633644106,0.0,-3.729334264993668,0.0,-4.210044384479523,0.0,2.3756911982774733,0.0,3.0749384059906006,0.0,3.309590346336365,0.0,3.809292631149292,0.0,3.309590346336365,0.0,3.809292631149292,0.0,0.01,0.0,0.001,0.0
0.11,11.0,0110,1,-1.85812246799469,0.0,0.6177279353141785,0.0,4.546175003051758,0.0,5.4762492179870605,0.0,5.98054313659668,0.0,4.069061756134033,0.0,7.159261226654053,0.0,-1.858122489285469,0.0,0.6177279656405928,0.0,1.858122489285469,0.0,3.834207024722893,0.0,5.170157432556152,0.0,2.974964320659637,0.0,3.453471643924713,0.0,-3.453471643924713,0.0,-3.698456901311874,0.0,-4.18486287355423,0.0,2.350300659584999,0.0,3.0558555636405944,0.0,3.285189463615417,0.0,3.7969702529907225,0.0,3.285189463615417,0.0,3.7969702529907225,0.0,0.01,0.0,0.001,0.0
0.12,12.0,0120,1,-1.831910729408264,0.0,0.6221049427986145,0.0,4.5236897468566895,0.0,5.453859329223633,0.0,5.949584484100342,0.0,4.042693614959717,0.0,7.21277379989624,0.0,-1.8319106909036635,0.0,0.6221049295734182,0.0,1.8319106909036635,0.0,3.7429113228466857,0.0,5.223352432250977,0.0,2.9462645053863525,0.0,3.435300335884094,0.0,-3.435300335884094,0.0,-3.669376794099808,0.0,-4.144517205238342,0.0,2.3276629848241805,0.0,3.0315858850479125,0.0,3.259665039539337,0.0,3.7575384521484376,0.0,3.259665039539337,0.0,3.7575384521484376,0.0,0.01,0.0,0.001,0.0
0.13,13.0,0130,1,-1.8062667846679688,0.0,0.6279212832450867,0.0,4.502430438995361,0.0,5.444674968719482,0.0,5.942229747772217,0.0,4.016896724700928,0.0,6.915185451507568,0.0,-1.8062669437766077,0.0,0.6279213099602379,0.0,1.8062669437766077,0.0,3.6568854436822673,0.0,4.974105358123779,0.0,2.9398382902145386,0.0,3.4171751713752747,0.0,-3.4171751713752747,0.0,-3.6694369781017295,0.0,-4.172798095703125,0.0,2.306685824942589,0.0,3.0162120673656463,0.0,3.249853193283081,0.0,3.749673249721527,0.0,3.249853193283081,0.0,3.749673249721527,0.0,0.01,0.0,0.001,0.0
0.14,14.000000000000002,0140,1,-1.780672311782837,0.0,0.63153076171875,0.0,4.479811668395996,0.0,5.419497489929199,0.0,5.908873081207275,0.0,3.9911491870880127,0.0,6.915185451507568,0.0,-1.7806721601843831,0.0,0.6315307830599858,0.0,1.7806874626517295,0.0,3.569624472008077,0.0,4.927529811859131,0.0,2.9028854370117188,0.0,3.378315002918243,0.0,-3.378315002918243,0.0,-3.61426154255867,0.0,-4.227321503639221,0.0,2.2842201642274857,0.0,2.994660488128662,0.0,3.229286789894104,0.0,3.730306544303894,0.0,3.229286789894104,0.0,3.730306544303894,0.0,0.01,0.0,0.001,0.0
0.15,15.0,0150,1,-1.7553194761276243,0.0,0.6371940970420837,0.0,4.459690570831299,0.0,5.403510570526123,0.0,5.922293186187744,0.0,3.96564531326294,0.0,7.017716884613037,0.0,-1.7553194729566577,0.0,0.6371940795629952,0.0,1.755365599656105,0.0,3.4871627471709696,0.0,4.927529811859131,0.0,2.8826417088508607,0.0,3.3977338695526123,0.0,-3.3977338695526123,0.0,-3.64604022026062,0.0,-4.236973111152649,0.0,2.263781664228439,0.0,2.9763581216335298,0.0,3.2169807529449463,0.0,3.7350431060791016,0.0,3.2169807529449463,0.0,3.7350431060791016,0.0,0.01,0.0,0.001,0.0
0.16,16.0,0160,1,-1.7286752462387085,0.0,0.6444435119628906,0.0,4.43851375579834,0.0,5.402963161468506,0.0,5.933523654937744,0.0,3.938841819763184,0.0,6.915185451507568,0.0,-1.7286750915765765,0.0,0.6444435145100327,0.0,1.728761849284172,0.0,3.403625015631327,0.0,4.927529811859131,0.0,2.8630980610847474,0.0,3.4234005999565125,0.0,-3.4234005999565125,0.0,-3.6373165428638456,0.0,-4.2146184091568,0.0,2.242477165579796,0.0,2.961244052886963,0.0,3.2094284405708318,0.0,3.74724338054657,0.0,3.2094284405708318,0.0,3.74724338054657,0.0,0.01,0.0,0.001,0.0
0.17,17.0,0170,1,-1.7047327756881714,0.0,0.6501274704933167,0.0,4.416270732879639,0.0,5.404096603393555,0.0,5.933419227600098,0.0,3.9147562980651855,0.0,6.915185451507568,0.0,-1.7047327117800712,0.0,0.6501274487480028,0.0,1.704895901310444,0.0,3.3287793182286225,0.0,4.927529811859131,0.0,2.8553961396217344,0.0,3.442325835227966,0.0,-3.442325835227966,0.0,-3.68171072602272,0.0,-4.166137663841248,0.0,2.2199591195106505,0.0,2.959217897415161,0.0,3.2130835332870484,0.0,3.751907844543457,0.0,3.2130835332870484,0.0,3.751907844543457,0.0,0.01,0.0,0.001,0.0
0.18,18.0,0180,1,-1.6777243614196775,0.0,0.659787118434906,0.0,4.396224021911621,0.0,5.399219512939453,0.0,5.922682285308838,0.0,3.887586832046509,0.0,6.877769470214844,0.0,-1.6777244270563123,0.0,0.6597870956323222,0.0,1.6782212789535522,0.0,3.250078264704368,0.0,4.738413333892822,0.0,2.8520946860313416,0.0,3.433628327846527,0.0,-3.433628327846527,0.0,-3.667885220050812,0.0,-4.119010618686676,0.0,2.1984525144577027,0.0,2.9477274177074437,0.0,3.208563570976257,0.0,3.749207427501679,0.0,3.208563570976257,0.0,3.749207427501679,0.0,0.01,0.0,0.001,0.0
0.19,19.0,0190,1,-1.658259034156799,0.0,0.6657530665397644,0.0,4.381728172302246,0.0,5.38268518447876,0.0,5.917186737060547,0.0,3.8680050373077393,0.0,6.899853706359863,0.0,-1.6582590447425842,0.0,0.6657530287294288,0.0,1.659179701399803,0.0,3.193050154732996,0.0,4.677881717681885,0.0,2.824280107021332,0.0,3.4451862144470216,0.0,-3.4451862144470216,0.0,-3.635028394460678,0.0,-4.106962525367737,0.0,2.184226896905899,0.0,2.93408647942543,0.0,3.196719330787659,0.0,3.739318702220917,0.0,3.196719330787659,0.0,3.739318702220917,0.0,0.01,0.0,0.001,0.0
0.2,20.0,0200,1,-1.6403273344039917,0.0,0.6762179732322693,0.0,4.369851589202881,0.0,5.391931533813477,0.0,5.907017230987549,0.0,3.849966287612915,0.0,6.711604118347168,0.0,-1.6403272379636764,0.0,0.6762179807793768,0.0,1.6413945655345916,0.0,3.147944205134881,0.0,4.4752960205078125,0.0,2.837773251533508,0.0,3.459478294849396,0.0,-3.459478294849396,0.0,-3.6311656641960144,0.0,-4.159895100593567,0.0,2.173762961030006,0.0,2.93930598449707,0.0,3.203382670879364,0.0,3.724590799808502,0.0,3.203382670879364,0.0,3.724590799808502,0.0,0.01,0.0,0.001,0.0
0.21,21.0,0210,1,-1.6165285110473633,0.0,0.6836860775947571,0.0,4.351300239562988,0.0,5.38654375076294,0.0,5.9272942543029785,0.0,3.826025485992432,0.0,6.711604118347168,0.0,-1.6165285305261612,0.0,0.6836861097744878,0.0,1.6181661699056626,0.0,3.0805911867036437,0.0,4.4752960205078125,0.0,2.8175281167030333,0.0,3.4622286987304687,0.0,-3.4622286987304687,0.0,-3.6684663951396943,0.0,-4.172573354244232,0.0,2.1560236850976944,0.0,2.9224752695560454,0.0,3.195457968711853,0.0,3.748213477134704,0.0,3.195457968711853,0.0,3.748213477134704,0.0,0.01,0.0,0.001,0.0
0.22,22.0,0220,1,-1.5955326557159424,0.0,0.6936802268028259,0.0,4.336896896362305,0.0,5.392678260803223,0.0,5.936685562133789,0.0,3.8049042224884033,0.0,7.184072017669678,0.0,-1.5955326615691183,0.0,0.6936801956865798,0.0,1.597855851042271,0.0,3.026916688021607,0.0,4.902365684509277,0.0,2.828014206886292,0.0,3.420127944946289,0.0,-3.420127944946289,0.0,-3.627873406410217,0.0,-4.204704340934754,0.0,2.140149693322181,0.0,2.9283869514465333,0.0,3.2014723172187805,0.0,3.7419841265678406,0.0,3.2014723172187805,0.0,3.7419841265678406,0.0,0.01,0.0,0.001,0.0
0.23,23.0,0230,1,-1.574604630470276,0.0,0.7021815180778503,0.0,4.322222709655762,0.0,5.391819477081299,0.0,5.945090293884277,0.0,3.783851623535156,0.0,7.2064995765686035,0.0,-1.5746047442913056,0.0,0.7021815364969923,0.0,1.5777834919691085,0.0,2.9724390109419643,0.0,5.014482021331787,0.0,2.811016798019409,0.0,3.414923136234284,0.0,-3.414923136234284,0.0,-3.642388689517975,0.0,-4.190006700515747,0.0,2.1248082249403,0.0,2.9228571615219114,0.0,3.196561923503876,0.0,3.75441700220108,0.0,3.196561923503876,0.0,3.75441700220108,0.0,0.01,0.0,0.001,0.0
0.24,24.0,0240,1,-1.553932785987854,0.0,0.7161307334899902,0.0,4.312842845916748,0.0,5.389835357666016,0.0,5.980741500854492,0.0,3.76305627822876,0.0,7.2064995765686035,0.0,-1.5539328121185303,0.0,0.7161307336384161,0.0,1.558789727473259,0.0,2.9275504122401,0.0,5.014482021331787,0.0,2.7993163108825683,0.0,3.419040539264679,0.0,-3.419040539264679,0.0,-3.6744784092903138,0.0,-4.169857511043548,0.0,2.114621567034721,0.0,2.918234483003616,0.0,3.1939191398620603,0.0,3.784427516460419,0.0,3.1939191398620603,0.0,3.784427516460419,0.0,0.01,0.0,0.001,0.0
0.25,25.0,0250,1,-1.5332738161087036,0.0,0.7274785041809082,0.0,4.300832748413086,0.0,5.3827433586120605,0.0,5.963704109191895,0.0,3.742273330688477,0.0,7.240940093994141,0.0,-1.5332737801074985,0.0,0.7274785111076255,0.0,1.5389119426250455,0.0,2.8801534688885044,0.0,5.048717975616455,0.0,2.80035799741745,0.0,3.43366441488266,0.0,-3.43366441488266,0.0,-3.625553047657013,0.0,-4.138331878185272,0.0,2.103378676366806,0.0,2.914446779489517,0.0,3.1914464449882507,0.0,3.7647645831108094,0.0,3.1914464449882507,0.0,3.7647645831108094,0.0,0.01,0.0,0.001,0.0
0.26,26.0,0260,1,-1.5107905864715576,0.0,0.7412285804748535,0.0,4.291572570800781,0.0,5.384139060974121,0.0,5.959692001342773,0.0,3.719656229019165,0.0,6.814094543457031,0.0,-1.5107905487775803,0.0,0.7412285587372656,0.0,1.5180928726673126,0.0,2.8319078585633863,0.0,4.624405860900879,0.0,2.795012819766998,0.0,3.450603191852569,0.0,-3.450603191852569,0.0,-3.676626489162445,0.0,-4.119474138736725,0.0,2.0923835426092148,0.0,2.911303675889969,0.0,3.1927978372573853,0.0,3.778764452934265,0.0,3.1927978372573853,0.0,3.778764452934265,0.0,0.01,0.0,0.001,0.0
0.27,27.0,0270,1,-1.485675573348999,0.0,0.7548058032989502,0.0,4.277274131774902,0.0,5.378039836883545,0.0,5.966912746429443,0.0,3.69439148902893,0.0,7.132027626037598,0.0,-1.4856754988074303,0.0,0.7548058237829515,0.0,1.495278108084202,0.0,2.7769635193733664,0.0,4.9851975440979,0.0,2.788117027282715,0.0,3.464966850280762,0.0,-3.464966850280762,0.0,-3.68880752325058,0.0,-4.1194911065101625,0.0,2.078685379695892,0.0,2.902385964155197,0.0,3.1828157052993773,0.0,3.773982100486756,0.0,3.1828157052993773,0.0,3.773982100486756,0.0,0.01,0.0,0.001,0.0
0.28,28.000000000000004,0280,1,-1.4677687883377075,0.0,0.7708595395088196,0.0,4.269649982452393,0.0,5.400315761566162,0.0,6.009462356567383,0.0,3.676377296447754,0.0,7.132027626037598,0.0,-1.467768742728233,0.0,0.7708595139745886,0.0,1.4790030835866927,0.0,2.748569472415158,0.0,4.9851975440979,0.0,2.803717613220215,0.0,3.496658937931061,0.0,-3.496658937931061,0.0,-3.7911811625957488,0.0,-4.172856381416321,0.0,2.0716131778240205,0.0,2.920641260147095,0.0,3.211057262897492,0.0,3.842616147994995,0.0,3.211057262897492,0.0,3.842616147994995,0.0,0.01,0.0,0.001,0.0
0.29,28.999999999999996,0290,1,-1.4474518299102783,0.0,0.786861002445221,0.0,4.259904861450195,0.0,5.433065414428711,0.0,6.072688102722168,0.0,3.655939340591431,0.0,7.21100902557373,0.0,-1.4474518366098403,0.0,0.7868610286375275,0.0,1.4606270579576492,0.0,2.714267097693708,0.0,5.044605731964111,0.0,2.8227628111839294,0.0,3.504055082798004,0.0,-3.504055082798004,0.0,-3.79948646068573,0.0,-4.2298566660881045,0.0,2.062135101413727,0.0,2.945509997367859,0.0,3.241875074863434,0.0,3.891240954399109,0.0,3.241875074863434,0.0,3.891240954399109,0.0,0.01,0.0,0.001,0.0
0.3,30.0,0300,1,-1.418993353843689,0.0,0.8026491403579712,0.0,4.240628719329834,0.0,5.457396030426025,0.0,6.1072096824646,0.0,3.627310991287232,0.0,7.329592227935791,0.0,-1.418993381488323,0.0,0.802649155487262,0.0,1.4347574130415917,0.0,2.6577878835120807,0.0,5.136844158172607,0.0,2.8391971707344057,0.0,3.577902925014496,0.0,-3.577902925014496,0.0,-3.8541544568538666,0.0,-4.276165481567383,0.0,2.043001956796646,0.0,2.9606429193019865,0.0,3.2701519560813903,0.0,3.9307284116745,0.0,3.2701519560813903,0.0,3.9307284116745,0.0,0.01,0.0,0.001,0.0
0.31,31.0,0310,1,-1.3990068435668943,0.0,0.8214960098266602,0.0,4.230148315429688,0.0,5.520395278930664,0.0,6.192635536193848,0.0,3.6072051525115967,0.0,7.461440086364746,0.0,-1.3990068377733231,0.0,0.8214959596536616,0.0,1.4181089616298677,0.0,2.632075743863804,0.0,5.267909526824951,0.0,2.882240617275238,0.0,3.664238758087158,0.0,-3.664238758087158,0.0,-3.911544139385224,0.0,-4.35034179019928,0.0,2.033760182785988,0.0,3.0021928420066835,0.0,3.3301017546653746,0.0,4.003386604785919,0.0,3.3301017546653746,0.0,4.003386604785919,0.0,0.01,0.0,0.001,0.0
0.32,32.0,0320,1,-1.3754124641418457,0.0,0.831736147403717,0.0,4.212082862854004,0.0,5.533688545227051,0.0,6.210904598236084,0.0,3.583469867706299,0.0,7.461440086364746,0.0,-1.375412367641926,0.0,0.8317361761334582,0.0,1.3970187185883522,0.0,2.5835442477514747,0.0,5.267909526824951,0.0,2.890596866607666,0.0,3.6509828925132752,0.0,-3.6509828925132752,0.0,-3.943897119760513,0.0,-4.448974510192871,0.0,2.016447712278366,0.0,3.0088037037849427,0.0,3.343953297138214,0.0,4.02883563041687,0.0,3.343953297138214,0.0,4.02883563041687,0.0,0.01,0.0,0.001,0.0
