band_bound,band_pct,band_slug,simulation_index,eval_seed,run_dir,benchmark_point_agent,benchmark_empirical_agent,benchmark_point_mean,benchmark_point_stddev,benchmark_point_cvar_50,benchmark_point_cvar_95,benchmark_point_cvar_99,benchmark_point_mae,benchmark_point_worstcase,benchmark_empirical_mean_error,benchmark_empirical_std_error,benchmark_empirical_mae_error,benchmark_empirical_mse_error,benchmark_empirical_worst_case,benchmark_empirical_var_95,benchmark_empirical_var_99,benchmark_empirical_q_1pct,benchmark_empirical_q_0_5pct,benchmark_empirical_q_0_1pct,benchmark_empirical_cvar_50,benchmark_empirical_cvar_90,benchmark_empirical_cvar_95,benchmark_empirical_cvar_99,benchmark_empirical_es_95,benchmark_empirical_es_99,benchmark_empirical_exceedance_left_1pct,benchmark_empirical_exceedance_left_0_1pct
0.0,0.0,0000,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0000__sim_01,bs_delta_hedging,bs_delta_hedging,-2.139125108718872,1.503594994544983,18.609603881835938,47.1823844909668,68.44002532958984,11.1906156539917,117.974365234375,-2.13912501464614,1.5035950202563657,2.157468007700749,6.836653813224592,14.159456253051758,4.906084251403809,6.794808292388916,-6.794808292388916,-7.513517475128173,-8.91893376159668,3.282571365022659,5.248410783290863,6.016047971725464,7.769395148754119,6.016047971725464,7.769395148754119,0.01,0.001
0.005,0.5,0005,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0005__sim_01,bs_delta_hedging,bs_delta_hedging,-2.1308393478393555,1.5041756629943848,18.595718383789062,47.150333404541016,68.40243530273438,11.182281494140623,117.98361206054688,-2.1308393982499365,1.5041756364654648,2.149254923579352,6.803020886470436,14.159452438354492,4.900677871704102,6.786954774856567,-6.786954774856567,-7.51135760307312,-8.930503313064575,3.2757431959629058,5.243532003879547,6.01132873916626,7.765639498233795,6.01132873916626,7.765639498233795,0.01,0.001
0.01,1.0,0010,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0010__sim_01,bs_delta_hedging,bs_delta_hedging,-2.1173624992370605,1.503316879272461,18.57372665405273,47.114234924316406,68.3786392211914,11.16872501373291,117.98361206054688,-2.1173626543858983,1.5033167995737344,2.136016598672718,6.743186010068712,14.11482048034668,4.88967399597168,6.779664306640625,-6.779664306640625,-7.510499334335327,-8.941375761032104,3.262116432666778,5.232789253950119,6.000397208213806,7.755804483890533,6.000397208213806,7.755804483890533,0.01,0.001
0.015,1.5,0015,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0015__sim_01,bs_delta_hedging,bs_delta_hedging,-2.100548505783081,1.501051902770996,18.547103881835938,47.08592224121094,68.34536743164062,11.151812553405762,117.98361206054688,-2.100548430416219,1.501051949533299,2.1196454421814512,6.665460663721759,14.17173957824707,4.862545537948608,6.753695774078369,-6.753695774078369,-7.510121669769287,-8.989718711853028,3.243064692187309,5.216414100170136,5.98509757566452,7.744410130977631,5.98509757566452,7.744410130977631,0.01,0.001
0.02,2.0,0020,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0020__sim_01,bs_delta_hedging,bs_delta_hedging,-2.0828969478607178,1.498394012451172,18.519500732421875,47.06024932861328,68.35106658935547,11.134056091308594,117.98361206054688,-2.0828968030309403,1.4983941285092108,2.102505804271028,6.583644056427389,13.93711280822754,4.86188006401062,6.738229331970215,-6.738229331970215,-7.469546771049499,-8.983507719993591,3.2232104742288588,5.198153805494308,5.964630352020263,7.720365154743194,5.964630352020263,7.720365154743194,0.01,0.001
0.025,2.5,0025,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0025__sim_01,bs_delta_hedging,bs_delta_hedging,-2.062899589538574,1.4955363273620603,18.489036560058597,47.02120208740234,68.33942413330078,11.113934516906738,117.98361206054688,-2.062899694319976,1.4955362266483794,2.083378199794468,6.492183754043122,13.810928344726562,4.840709924697876,6.736775803565979,-6.736775803565979,-7.432622957229614,-8.867108522415162,3.2010451152920725,5.175898987531662,5.941878497600555,7.693289065361023,5.941878497600555,7.693289065361023,0.01,0.001
0.03,3.0,0030,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0030__sim_01,bs_delta_hedging,bs_delta_hedging,-2.0429229736328125,1.4921588897705078,18.4583740234375,47.000118255615234,68.36007690429688,11.09384536743164,117.98361206054688,-2.042923036648806,1.4921588444716911,2.0641263454870624,6.40007255080547,13.9285888671875,4.807256507873535,6.730985136032104,-6.730985136032104,-7.400485534667968,-8.86143180847168,3.178754369902611,5.149167784690857,5.916648837566376,7.667157802581787,5.916648837566376,7.667157802581787,0.01,0.001
0.035,3.5000000000000004,0035,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0035__sim_01,bs_delta_hedging,bs_delta_hedging,-2.022653341293335,1.4873327016830444,18.427921295166016,46.98126602172852,68.2772445678711,11.073450088500977,117.98361206054688,-2.022653176466461,1.4873327391288165,2.0450807910596875,6.303284549154292,14.090869903564451,4.7671242475509645,6.675832271575928,-6.675832271575928,-7.331977796554566,-8.761727332115173,3.1539263911008835,5.120396221399307,5.8876749696731565,7.632190349102021,5.8876749696731565,7.632190349102021,0.01,0.001
0.04,4.0,0040,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0040__sim_01,bs_delta_hedging,bs_delta_hedging,-2.00046443939209,1.484114646911621,18.39606475830078,46.944854736328125,68.28528594970703,11.051141738891602,117.98361206054688,-2.000464672255201,1.4841145137983482,2.0242517047589987,6.204454795008016,14.204301834106444,4.745672726631165,6.662548494338989,-6.662548494338989,-7.263671708106995,-8.872397621154786,3.129166288292408,5.092961666345596,5.862199753284455,7.603168799877166,5.862199753284455,7.603168799877166,0.01,0.001
0.045,4.5,0045,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W2_gbm_random_ctx50\1a_2_euro_tc1_band\compare\_tmp_bs_band_calibration\band_0045__sim_01,bs_delta_hedging,bs_delta_hedging,-1.979243755340576,1.482527732849121,18.36551094055176,46.9220085144043,68.2787857055664,11.029812812805176,117.98361206054688,-1.9792436532298008,1.4825276680291315,2.0054894208334058,6.115293725322343,14.269872665405272,4.726950740814209,6.6034282684326175,-6.6034282684326175,-7.35670129776001,-8.628445808410644,3.105435638821125,5.0687639636993405,5.835455823421478,7.575184118747711,5.835455823421478,7.575184118747711,0.01,0.001
