band_bound,band_pct,band_slug,n_simulations,benchmark_point_mean_mean,benchmark_point_mean_std,benchmark_point_stddev_mean,benchmark_point_stddev_std,benchmark_point_cvar_50_mean,benchmark_point_cvar_50_std,benchmark_point_cvar_95_mean,benchmark_point_cvar_95_std,benchmark_point_cvar_99_mean,benchmark_point_cvar_99_std,benchmark_point_mae_mean,benchmark_point_mae_std,benchmark_point_worstcase_mean,benchmark_point_worstcase_std,benchmark_empirical_mean_error_mean,benchmark_empirical_mean_error_std,benchmark_empirical_std_error_mean,benchmark_empirical_std_error_std,benchmark_empirical_mae_error_mean,benchmark_empirical_mae_error_std,benchmark_empirical_mse_error_mean,benchmark_empirical_mse_error_std,benchmark_empirical_worst_case_mean,benchmark_empirical_worst_case_std,benchmark_empirical_var_95_mean,benchmark_empirical_var_95_std,benchmark_empirical_var_99_mean,benchmark_empirical_var_99_std,benchmark_empirical_q_1pct_mean,benchmark_empirical_q_1pct_std,benchmark_empirical_q_0_5pct_mean,benchmark_empirical_q_0_5pct_std,benchmark_empirical_q_0_1pct_mean,benchmark_empirical_q_0_1pct_std,benchmark_empirical_cvar_50_mean,benchmark_empirical_cvar_50_std,benchmark_empirical_cvar_90_mean,benchmark_empirical_cvar_90_std,benchmark_empirical_cvar_95_mean,benchmark_empirical_cvar_95_std,benchmark_empirical_cvar_99_mean,benchmark_empirical_cvar_99_std,benchmark_empirical_es_95_mean,benchmark_empirical_es_95_std,benchmark_empirical_es_99_mean,benchmark_empirical_es_99_std,benchmark_empirical_exceedance_left_1pct_mean,benchmark_empirical_exceedance_left_1pct_std,benchmark_empirical_exceedance_left_0_1pct_mean,benchmark_empirical_exceedance_left_0_1pct_std
0.0,0.0,0000,1,-2.139125108718872,0.0,1.503594994544983,0.0,18.609603881835938,0.0,47.1823844909668,0.0,68.44002532958984,0.0,11.1906156539917,0.0,117.974365234375,0.0,-2.13912501464614,0.0,1.5035950202563657,0.0,2.157468007700749,0.0,6.836653813224592,0.0,14.159456253051758,0.0,4.906084251403809,0.0,6.794808292388916,0.0,-6.794808292388916,0.0,-7.513517475128173,0.0,-8.91893376159668,0.0,3.282571365022659,0.0,5.248410783290863,0.0,6.016047971725464,0.0,7.769395148754119,0.0,6.016047971725464,0.0,7.769395148754119,0.0,0.01,0.0,0.001,0.0
0.005,0.5,0005,1,-2.1308393478393555,0.0,1.5041756629943848,0.0,18.595718383789062,0.0,47.150333404541016,0.0,68.40243530273438,0.0,11.182281494140623,0.0,117.98361206054688,0.0,-2.1308393982499365,0.0,1.5041756364654648,0.0,2.149254923579352,0.0,6.803020886470436,0.0,14.159452438354492,0.0,4.900677871704102,0.0,6.786954774856567,0.0,-6.786954774856567,0.0,-7.51135760307312,0.0,-8.930503313064575,0.0,3.2757431959629058,0.0,5.243532003879547,0.0,6.01132873916626,0.0,7.765639498233795,0.0,6.01132873916626,0.0,7.765639498233795,0.0,0.01,0.0,0.001,0.0
0.01,1.0,0010,1,-2.1173624992370605,0.0,1.503316879272461,0.0,18.57372665405273,0.0,47.114234924316406,0.0,68.3786392211914,0.0,11.16872501373291,0.0,117.98361206054688,0.0,-2.1173626543858983,0.0,1.5033167995737344,0.0,2.136016598672718,0.0,6.743186010068712,0.0,14.11482048034668,0.0,4.88967399597168,0.0,6.779664306640625,0.0,-6.779664306640625,0.0,-7.510499334335327,0.0,-8.941375761032104,0.0,3.262116432666778,0.0,5.232789253950119,0.0,6.000397208213806,0.0,7.755804483890533,0.0,6.000397208213806,0.0,7.755804483890533,0.0,0.01,0.0,0.001,0.0
0.015,1.5,0015,1,-2.100548505783081,0.0,1.501051902770996,0.0,18.547103881835938,0.0,47.08592224121094,0.0,68.34536743164062,0.0,11.151812553405762,0.0,117.98361206054688,0.0,-2.100548430416219,0.0,1.501051949533299,0.0,2.1196454421814512,0.0,6.665460663721759,0.0,14.17173957824707,0.0,4.862545537948608,0.0,6.753695774078369,0.0,-6.753695774078369,0.0,-7.510121669769287,0.0,-8.989718711853028,0.0,3.243064692187309,0.0,5.216414100170136,0.0,5.98509757566452,0.0,7.744410130977631,0.0,5.98509757566452,0.0,7.744410130977631,0.0,0.01,0.0,0.001,0.0
0.02,2.0,0020,1,-2.0828969478607178,0.0,1.498394012451172,0.0,18.519500732421875,0.0,47.06024932861328,0.0,68.35106658935547,0.0,11.134056091308594,0.0,117.98361206054688,0.0,-2.0828968030309403,0.0,1.4983941285092108,0.0,2.102505804271028,0.0,6.583644056427389,0.0,13.93711280822754,0.0,4.86188006401062,0.0,6.738229331970215,0.0,-6.738229331970215,0.0,-7.469546771049499,0.0,-8.983507719993591,0.0,3.2232104742288588,0.0,5.198153805494308,0.0,5.964630352020263,0.0,7.720365154743194,0.0,5.964630352020263,0.0,7.720365154743194,0.0,0.01,0.0,0.001,0.0
0.025,2.5,0025,1,-2.062899589538574,0.0,1.4955363273620603,0.0,18.489036560058597,0.0,47.02120208740234,0.0,68.33942413330078,0.0,11.113934516906738,0.0,117.98361206054688,0.0,-2.062899694319976,0.0,1.4955362266483794,0.0,2.083378199794468,0.0,6.492183754043122,0.0,13.810928344726562,0.0,4.840709924697876,0.0,6.736775803565979,0.0,-6.736775803565979,0.0,-7.432622957229614,0.0,-8.867108522415162,0.0,3.2010451152920725,0.0,5.175898987531662,0.0,5.941878497600555,0.0,7.693289065361023,0.0,5.941878497600555,0.0,7.693289065361023,0.0,0.01,0.0,0.001,0.0
0.03,3.0,0030,1,-2.0429229736328125,0.0,1.4921588897705078,0.0,18.4583740234375,0.0,47.000118255615234,0.0,68.36007690429688,0.0,11.09384536743164,0.0,117.98361206054688,0.0,-2.042923036648806,0.0,1.4921588444716911,0.0,2.0641263454870624,0.0,6.40007255080547,0.0,13.9285888671875,0.0,4.807256507873535,0.0,6.730985136032104,0.0,-6.730985136032104,0.0,-7.400485534667968,0.0,-8.86143180847168,0.0,3.178754369902611,0.0,5.149167784690857,0.0,5.916648837566376,0.0,7.667157802581787,0.0,5.916648837566376,0.0,7.667157802581787,0.0,0.01,0.0,0.001,0.0
0.035,3.5000000000000004,0035,1,-2.022653341293335,0.0,1.4873327016830444,0.0,18.427921295166016,0.0,46.98126602172852,0.0,68.2772445678711,0.0,11.073450088500977,0.0,117.98361206054688,0.0,-2.022653176466461,0.0,1.4873327391288165,0.0,2.0450807910596875,0.0,6.303284549154292,0.0,14.090869903564451,0.0,4.7671242475509645,0.0,6.675832271575928,0.0,-6.675832271575928,0.0,-7.331977796554566,0.0,-8.761727332115173,0.0,3.1539263911008835,0.0,5.120396221399307,0.0,5.8876749696731565,0.0,7.632190349102021,0.0,5.8876749696731565,0.0,7.632190349102021,0.0,0.01,0.0,0.001,0.0
0.04,4.0,0040,1,-2.00046443939209,0.0,1.484114646911621,0.0,18.39606475830078,0.0,46.944854736328125,0.0,68.28528594970703,0.0,11.051141738891602,0.0,117.98361206054688,0.0,-2.000464672255201,0.0,1.4841145137983482,0.0,2.0242517047589987,0.0,6.204454795008016,0.0,14.204301834106444,0.0,4.745672726631165,0.0,6.662548494338989,0.0,-6.662548494338989,0.0,-7.263671708106995,0.0,-8.872397621154786,0.0,3.129166288292408,0.0,5.092961666345596,0.0,5.862199753284455,0.0,7.603168799877166,0.0,5.862199753284455,0.0,7.603168799877166,0.0,0.01,0.0,0.001,0.0
0.045,4.5,0045,1,-1.979243755340576,0.0,1.482527732849121,0.0,18.36551094055176,0.0,46.9220085144043,0.0,68.2787857055664,0.0,11.029812812805176,0.0,117.98361206054688,0.0,-1.9792436532298008,0.0,1.4825276680291315,0.0,2.0054894208334058,0.0,6.115293725322343,0.0,14.269872665405272,0.0,4.726950740814209,0.0,6.6034282684326175,0.0,-6.6034282684326175,0.0,-7.35670129776001,0.0,-8.628445808410644,0.0,3.105435638821125,0.0,5.0687639636993405,0.0,5.835455823421478,0.0,7.575184118747711,0.0,5.835455823421478,0.0,7.575184118747711,0.0,0.01,0.0,0.001,0.0
0.05,5.0,0050,1,-1.9589853286743164,0.0,1.4824907779693604,0.0,18.33904457092285,0.0,46.89764404296875,0.0,68.26757049560547,0.0,11.009422302246094,0.0,117.98361206054688,0.0,-1.958985291584333,0.0,1.4824907872615871,0.0,1.9876740712067191,0.0,6.035402306959234,0.0,13.664684295654297,0.0,4.707297801971436,0.0,6.593350124359131,0.0,-6.593350124359131,0.0,-7.296404337882995,0.0,-8.669250833511352,0.0,3.084070388364792,0.0,5.048316648960114,0.0,5.817191902637481,0.0,7.555774204730987,0.0,5.817191902637481,0.0,7.555774204730987,0.0,0.01,0.0,0.001,0.0
0.055,5.5,0055,1,-1.9364696741104128,0.0,1.481072187423706,0.0,18.30747604370117,0.0,46.87559127807617,0.0,68.25806427001953,0.0,10.986783981323242,0.0,117.98361206054688,0.0,-1.9364696493222573,0.0,1.4810721339602375,0.0,1.9678133344968511,0.0,5.943489368739798,0.0,13.986352920532228,0.0,4.667409324645996,0.0,6.556816759109497,0.0,-6.556816759109497,0.0,-7.280348882675171,0.0,-8.628380243301391,0.0,3.058978344988823,0.0,5.0228195941448215,0.0,5.790751026153565,0.0,7.5312119221687315,0.0,5.790751026153565,0.0,7.5312119221687315,0.0,0.01,0.0,0.001,0.0
0.06,6.0,0060,1,-1.913633227348328,0.0,1.4786497354507446,0.0,18.27646255493164,0.0,46.8745346069336,0.0,68.2713394165039,0.0,10.963829040527344,0.0,117.98361206054688,0.0,-1.913633024236547,0.0,1.4786498607701244,0.0,1.948080572557925,0.0,5.84839676220422,0.0,13.56182861328125,0.0,4.642049884796142,0.0,6.5286713981628415,0.0,-6.5286713981628415,0.0,-7.264358978271484,0.0,-8.513282343864441,0.0,3.0342048290967942,0.0,4.989421810150146,0.0,5.761703462600708,0.0,7.506024572849274,0.0,5.761703462600708,0.0,7.506024572849274,0.0,0.01,0.0,0.001,0.0
0.065,6.5,0065,1,-1.8959510326385496,0.0,1.4790983200073242,0.0,18.25637435913086,0.0,46.876949310302734,0.0,68.26265716552734,0.0,10.946090698242188,0.0,117.98361206054688,0.0,-1.8959509909522008,0.0,1.4790984434867778,0.0,1.9323978979115128,0.0,5.782362365617639,0.0,13.6702880859375,0.0,4.613599824905395,0.0,6.509629859924316,0.0,-6.509629859924316,0.0,-7.225230569839478,0.0,-8.628362558364868,0.0,3.017345538496971,0.0,4.970574769258499,0.0,5.738523643016816,0.0,7.501674203872681,0.0,5.738523643016816,0.0,7.501674203872681,0.0,0.01,0.0,0.001,0.0
0.07,7.000000000000001,0070,1,-1.873540997505188,0.0,1.474223494529724,0.0,18.22518539428711,0.0,46.84733200073242,0.0,68.25181579589844,0.0,10.92356014251709,0.0,117.98361206054688,0.0,-1.8735411111150624,0.0,1.4742235950262803,0.0,1.9138908490595623,0.0,5.683491503170472,0.0,13.738811492919922,0.0,4.573302507400513,0.0,6.454766731262207,0.0,-6.454766731262207,0.0,-7.186649503707885,0.0,-8.525015855789185,0.0,2.990922780764103,0.0,4.93407466506958,0.0,5.701158843517304,0.0,7.454745650291443,0.0,5.701158843517304,0.0,7.454745650291443,0.0,0.01,0.0,0.001,0.0
