band_bound,band_pct,band_slug,n_simulations,benchmark_point_mean_mean,benchmark_point_mean_std,benchmark_point_stddev_mean,benchmark_point_stddev_std,benchmark_point_cvar_50_mean,benchmark_point_cvar_50_std,benchmark_point_cvar_95_mean,benchmark_point_cvar_95_std,benchmark_point_cvar_99_mean,benchmark_point_cvar_99_std,benchmark_point_mae_mean,benchmark_point_mae_std,benchmark_point_worstcase_mean,benchmark_point_worstcase_std,benchmark_empirical_mean_error_mean,benchmark_empirical_mean_error_std,benchmark_empirical_std_error_mean,benchmark_empirical_std_error_std,benchmark_empirical_mae_error_mean,benchmark_empirical_mae_error_std,benchmark_empirical_mse_error_mean,benchmark_empirical_mse_error_std,benchmark_empirical_worst_case_mean,benchmark_empirical_worst_case_std,benchmark_empirical_var_95_mean,benchmark_empirical_var_95_std,benchmark_empirical_var_99_mean,benchmark_empirical_var_99_std,benchmark_empirical_q_1pct_mean,benchmark_empirical_q_1pct_std,benchmark_empirical_q_0_5pct_mean,benchmark_empirical_q_0_5pct_std,benchmark_empirical_q_0_1pct_mean,benchmark_empirical_q_0_1pct_std,benchmark_empirical_cvar_50_mean,benchmark_empirical_cvar_50_std,benchmark_empirical_cvar_90_mean,benchmark_empirical_cvar_90_std,benchmark_empirical_cvar_95_mean,benchmark_empirical_cvar_95_std,benchmark_empirical_cvar_99_mean,benchmark_empirical_cvar_99_std,benchmark_empirical_es_95_mean,benchmark_empirical_es_95_std,benchmark_empirical_es_99_mean,benchmark_empirical_es_99_std,benchmark_empirical_exceedance_left_1pct_mean,benchmark_empirical_exceedance_left_1pct_std,benchmark_empirical_exceedance_left_0_1pct_mean,benchmark_empirical_exceedance_left_0_1pct_std
0.0,0.0,0000,1,-2.134328842163086,0.0,2.4061222076416016,0.0,22.534751892089844,0.0,63.40352249145508,0.0,99.23005676269533,0.0,13.131150245666504,0.0,231.58685302734372,0.0,-2.134328799665853,0.0,2.406122229152624,0.0,2.331807035118507,0.0,10.344783606705477,0.0,85.65972900390625,0.0,6.089819288253784,0.0,9.749476432800291,0.0,-9.749476432800291,0.0,-11.440901770591736,0.0,-18.109000108718877,0.0,3.687337198472023,0.0,6.968731361865998,0.0,8.59827406311035,0.0,13.46948344230652,0.0,8.59827406311035,0.0,13.46948344230652,0.0,0.01,0.0,0.001,0.0
0.005,0.5,0005,1,-2.125097751617432,0.0,2.406146287918091,0.0,22.519500732421875,0.0,63.36853790283203,0.0,99.19461059570312,0.0,13.121865272521973,0.0,231.47573852539065,0.0,-2.125097558501357,0.0,2.406146420384715,0.0,2.3233874383806365,0.0,10.305580229478606,0.0,85.67756652832031,0.0,6.079303765296936,0.0,9.749679317474364,0.0,-9.749679317474364,0.0,-11.367457427978517,0.0,-18.1103687915802,0.0,3.6785676822423934,0.0,6.961538999319076,0.0,8.59203796339035,0.0,13.46079692363739,0.0,8.59203796339035,0.0,13.46079692363739,0.0,0.01,0.0,0.001,0.0
0.01,1.0,0010,1,-2.110991716384888,0.0,2.4060380458831787,0.0,22.49681282043457,0.0,63.33339691162109,0.0,99.18048858642578,0.0,13.10767936706543,0.0,231.47573852539065,0.0,-2.1109917382007217,0.0,2.406038186199797,0.0,2.3111291801720237,0.0,10.245305872203314,0.0,85.67756652832031,0.0,6.062891101837158,0.0,9.759208545684814,0.0,-9.759208545684814,0.0,-11.350061573982238,0.0,-18.11026975059509,0.0,3.6651270438075065,0.0,6.948828402280808,0.0,8.578420341491698,0.0,13.447870836257934,0.0,8.578420341491698,0.0,13.447870836257934,0.0,0.01,0.0,0.001,0.0
0.015,1.5,0015,1,-2.093352794647217,0.0,2.4035732746124268,0.0,22.468647003173828,0.0,63.29052734375,0.0,99.123046875,0.0,13.089943885803224,0.0,231.47573852539065,0.0,-2.093352826052411,0.0,2.4035732883292376,0.0,2.2957012292666463,0.0,10.15929060671144,0.0,85.67756652832031,0.0,6.03526873588562,0.0,9.749997797012329,0.0,-9.749997797012329,0.0,-11.326246919631958,0.0,-17.898432008743285,0.0,3.645937937867641,0.0,6.92419429898262,0.0,8.556785603523254,0.0,13.420929465293884,0.0,8.556785603523254,0.0,13.420929465293884,0.0,0.01,0.0,0.001,0.0
0.02,2.0,0020,1,-2.0734972953796387,0.0,2.4036011695861816,0.0,22.43825340270996,0.0,63.24434280395508,0.0,99.11502838134766,0.0,13.069992065429688,0.0,231.47573852539065,0.0,-2.073497338578549,0.0,2.4036011867101856,0.0,2.2796127572631857,0.0,10.076689877846936,0.0,85.67756652832031,0.0,6.023239088058472,0.0,9.70521879196167,0.0,-9.70521879196167,0.0,-11.313384733200072,0.0,-17.90246863746643,0.0,3.624630530536175,0.0,6.905652000665665,0.0,8.538834848880768,0.0,13.398383240699768,0.0,8.538834848880768,0.0,13.398383240699768,0.0,0.01,0.0,0.001,0.0
0.025,2.5,0025,1,-2.0538785457611084,0.0,2.4024312496185303,0.0,22.40982437133789,0.0,63.21011734008789,0.0,99.09371948242188,0.0,13.050292015075684,0.0,231.47573852539065,0.0,-2.0538786124429085,0.0,2.402431210382864,0.0,2.263339619129247,0.0,9.990093075272076,0.0,85.67675018310547,0.0,6.02381591796875,0.0,9.69650146484375,0.0,-9.69650146484375,0.0,-11.33702055454254,0.0,-17.90246863746643,0.0,3.603066621172428,0.0,6.8841831619739535,0.0,8.511800741195678,0.0,13.376503372192383,0.0,8.511800741195678,0.0,13.376503372192383,0.0,0.01,0.0,0.001,0.0
0.03,3.0,0030,1,-2.0337979793548584,0.0,2.400812149047852,0.0,22.38043212890625,0.0,63.18389892578125,0.0,99.05606079101562,0.0,13.030109405517578,0.0,231.47573852539065,0.0,-2.0337980646109965,0.0,2.4008122467297253,0.0,2.247587133775579,0.0,9.900234011662866,0.0,85.67675018310547,0.0,6.00034875869751,0.0,9.627534103393554,0.0,-9.627534103393554,0.0,-11.271445350646973,0.0,-18.094390399932863,0.0,3.5824093578100205,0.0,6.857614627599716,0.0,8.484439888000487,0.0,13.349278764724732,0.0,8.484439888000487,0.0,13.349278764724732,0.0,0.01,0.0,0.001,0.0
0.035,3.5000000000000004,0035,1,-2.011138200759888,0.0,2.3985090255737305,0.0,22.3459415435791,0.0,63.14117050170898,0.0,99.02497863769533,0.0,13.007326126098633,0.0,231.47573852539065,0.0,-2.011138062016718,0.0,2.3985089541540416,0.0,2.230445254334432,0.0,9.797521507649476,0.0,85.67679595947266,0.0,5.966846656799317,0.0,9.589960470199586,0.0,-9.589960470199586,0.0,-11.323097991943358,0.0,-17.661947298049927,0.0,3.5571554575920104,0.0,6.826210230112076,0.0,8.446767006397247,0.0,13.323859567642211,0.0,8.446767006397247,0.0,13.323859567642211,0.0,0.01,0.0,0.001,0.0
0.04,4.0,0040,1,-1.991083741188049,0.0,2.3982300758361816,0.0,22.317705154418945,0.0,63.12053298950195,0.0,99.00656127929688,0.0,12.987184524536133,0.0,231.47573852539065,0.0,-1.9910838082531053,0.0,2.398230156447113,0.0,2.216514218864634,0.0,9.715922614780032,0.0,85.67679595947266,0.0,5.970417594909668,0.0,9.637199449539184,0.0,-9.637199449539184,0.0,-11.220694074630735,0.0,-17.541934984207153,0.0,3.5384419923067094,0.0,6.80901376247406,0.0,8.421558698654176,0.0,13.2670365190506,0.0,8.421558698654176,0.0,13.2670365190506,0.0,0.01,0.0,0.001,0.0
0.045,4.5,0045,1,-1.970018744468689,0.0,2.3971059322357178,0.0,22.28876495361328,0.0,63.1356201171875,0.0,99.04380798339844,0.0,12.966008186340332,0.0,231.47573852539065,0.0,-1.9700187620105745,0.0,2.397105909244563,0.0,2.2013077677868518,0.0,9.62709066280888,0.0,85.67679595947266,0.0,5.964549446105957,0.0,9.549520139694216,0.0,-9.549520139694216,0.0,-11.369488601684573,0.0,-17.32487726211548,0.0,3.5166717542529105,0.0,6.785983539581299,0.0,8.399714856624604,0.0,13.217037887573245,0.0,8.399714856624604,0.0,13.217037887573245,0.0,0.01,0.0,0.001,0.0
